fitness_test,fitness_training
1706.6357626516008,1661.007138960961
1055.9884720828084,1040.1981624431535
2593.6839478049146,2561.867086171049
539.8257511302111,539.7520095931792
1042.3380505395946,1036.980912274366
929.4138386393801,925.1868293046386
1908.8406058995688,1910.010175610488
464.4105301618542,470.45244297756483
2125.6128226580668,2097.0361496184264
1582.4689835619831,1515.1129565720728
2306.494559929866,2355.590881483584
1869.6389470489123,1866.7898546727984
1541.0595911018816,1507.5351340936106
1070.3192954056108,1061.5786985977354
1186.209310214506,1134.8263481592307
846.6518512943767,854.7135344947554
508.45406457332996,507.6123356945
975.5271233028229,988.7548949749937
1336.7798870048312,1310.3555077984965
976.6862396541463,986.0808384943957
2134.3819313133026,2132.191782719408
1824.1710920362475,1767.554818106028
1011.7735670623823,1004.2588805267916
1203.9029885406337,1163.8083990991595
2005.8850028560153,2021.4419609094298
994.8549972904628,998.3756291872614
2644.3222918325373,2703.0230461868828
1266.2597390708302,1245.2851690683356
681.8689031172868,688.5625850505675
2328.2135337051686,2283.1834103448796
