env_name,par1,par2,median_fitness
Hill,5.0,2.2,1069.778024597866
Hill,10.0,2.2,1515.1059238573719
Hill,15.0,2.2,1761.2205898181828
Hill,20.0,2.2,1844.4766903176833
Hill,5.0,2.4,1021.6675181099313
Hill,10.0,2.4,1390.1839261571663
Hill,15.0,2.4,1704.5863047757898
Hill,20.0,2.4,1766.8188588394225
Hill,5.0,3.0,950.771543819244
Hill,10.0,3.0,1167.1347261778587
Hill,15.0,3.0,1459.86063477483
Hill,20.0,3.0,1660.6100273113293
Hill,5.0,3.2,935.8770212042851
Hill,10.0,3.2,1114.7192231706326
Hill,15.0,3.2,1454.6015319866426
Hill,20.0,3.2,1615.9412991318436
Hill,5.0,3.8,903.361838147742
Hill,10.0,3.8,1062.7793030740456
Hill,15.0,3.8,1292.7012251020105
Hill,20.0,3.8,1421.1974995917083
Hill,5.0,4.0,855.1399647208235
Hill,10.0,4.0,1059.1957460507674
Hill,15.0,4.0,1206.1445988710602
Hill,20.0,4.0,1412.661426885792
Rough,1.0,0.1,1689.6255462026402
Rough,2.0,0.1,1750.2944476069715
Rough,3.0,0.1,1797.8736359616332
Rough,4.0,0.1,1779.445096299052
Rough,1.0,0.2,1493.083254828332
Rough,2.0,0.2,1519.628306950849
Rough,3.0,0.2,1588.4484138030766
Rough,4.0,0.2,1648.9096657348973
Rough,1.0,0.5,974.45343129369
Rough,2.0,0.5,1026.3538524607316
Rough,3.0,0.5,1024.358988908202
Rough,4.0,0.5,1045.8026447413472
Rough,1.0,0.6,964.8674485444019
Rough,2.0,0.6,971.5666040413295
Rough,3.0,0.6,998.9984822687047
Rough,4.0,0.6,1000.090164133832
Rough,1.0,0.9,891.9351603318839
Rough,2.0,0.9,940.384001067296
Rough,3.0,0.9,948.2618499305568
Rough,4.0,0.9,936.1150316550543
Rough,1.0,1.0,895.733795577536
Rough,2.0,1.0,893.7357512256634
Rough,3.0,1.0,915.4111024565861
Rough,4.0,1.0,944.9668012648629
Default,,,1729.9979921716847
Hill,5.0,2.6,1004.0021866266483
Hill,10.0,2.6,1317.596441179313
Hill,15.0,2.6,1641.04511070032
Hill,20.0,2.6,1771.4063820687466
Hill,5.0,2.8,973.1028567923252
Hill,10.0,2.8,1284.0896567392517
Hill,15.0,2.8,1613.6946710985515
Hill,20.0,2.8,1736.9486617180623
Hill,5.0,3.4,947.9695170494747
Hill,10.0,3.4,1069.7179495430073
Hill,15.0,3.4,1425.337972360981
Hill,20.0,3.4,1474.5440541560347
Hill,5.0,3.6,936.4799587990705
Hill,10.0,3.6,1058.1062219803625
Hill,15.0,3.6,1374.3414420864756
Hill,20.0,3.6,1542.104348494355
Rough,1.0,0.3,1266.8758374392323
Rough,2.0,0.3,1282.8361977715458
Rough,3.0,0.3,1294.7677106446795
Rough,4.0,0.3,1349.6514261106768
Rough,1.0,0.4,1077.9638096105223
Rough,2.0,0.4,1082.817200303509
Rough,3.0,0.4,1116.5007142104118
Rough,4.0,0.4,1177.5502027639914
Rough,1.0,0.7,947.254287475128
Rough,2.0,0.7,960.4498974287378
Rough,3.0,0.7,978.3819777907299
Rough,4.0,0.7,988.2018389411702
Rough,1.0,0.8,931.263379446695
Rough,2.0,0.8,951.7699222865826
Rough,3.0,0.8,955.646795047216
Rough,4.0,0.8,978.3190003309767
