fitness_test,fitness_training
2821.393908850019,2800.380384117445
2935.2853655391204,2944.7348862403005
2782.4779254751543,2827.530466237737
2820.454730880541,2766.6528425716465
2360.8532483601107,2371.098383335736
2500.8797740917057,2518.7548526922683
2900.9658298937375,2787.5340462830977
2597.346365462754,2601.485416153464
3005.3712592419047,2999.273784578946
2491.065197180714,2436.5599502511427
2361.1230043545715,2383.1264546338593
2999.3024205586457,2980.343108841605
2576.4619304943285,2601.738386069966
2682.999343695931,2773.6583714775943
2514.4855128308923,2558.1167313061233
2230.8206338309114,2278.118856477391
3033.71930028801,3007.746495094924
2587.134129361356,2624.2388714424155
2896.1355144635163,2887.278336517727
2453.8694687813754,2492.855687944186
3146.6953287224583,3096.7929803648535
2604.0013267982044,2577.1495086632053
2570.463242136331,2513.1372111220094
3194.978711403591,3185.8836310833817
2987.7815387443993,3033.5202157935673
2512.6477050704875,2490.785395269007
2714.8118832283767,2685.7368577917587
3063.0736987527744,3112.755112079086
2302.0276119804626,2253.4899587503533
2616.2804377311522,2639.732826043582
