fitness_test,fitness_training
2900.423742748686,2973.1367700337396
2398.322914471554,2408.0755134093015
2457.257863107948,2526.7177397879454
2975.3190295758236,3043.8300403966255
2408.757840182826,2452.3717993102005
2816.4761027629265,2848.2966732829705
2445.600695120131,2492.1249806036976
3089.4135025507244,3068.292015939903
1927.4732374928988,1881.9691573439181
2620.2141248532894,2603.341298699064
2651.533553294223,2726.8086112947117
2441.5760369132354,2422.3690471669015
2862.8309656695787,2938.870026094435
2568.3974803025967,2586.0942897239947
2619.47053076342,2676.9988222431034
2240.698710470651,2278.8094867121445
2446.0850523883387,2401.4768042273854
2837.4010743796503,2824.007601613254
2429.993658391372,2450.294480307098
1714.3690516521647,1627.6035769822593
2746.1545937994656,2752.736122691302
2150.684255880709,2140.5678567965538
2301.7526691527414,2339.6227066610427
2574.9891923902665,2570.4706090264667
2544.666756057403,2539.943411884011
2307.0447161536754,2294.772079728783
2640.808791713121,2657.473286322428
2880.0128999297135,2868.877620417922
2701.5041270297356,2743.6874518694854
2480.82726766726,2492.765974045085
