env_name,par1,par2,median_fitness
Default,,,7168.142266910248
Hill,5.0,2.6,2355.946439659642
Hill,5.0,2.8,1460.7262195653086
Hill,5.0,3.4,1339.9430508233972
Hill,5.0,3.6,1483.5023593199805
Hill,10.0,2.6,3362.4162783796564
Hill,10.0,2.8,2742.8962817115944
Hill,10.0,3.4,1978.6741474220935
Hill,10.0,3.6,2325.759624759723
Hill,15.0,2.6,3917.042257281603
Hill,15.0,2.8,3935.6864889409294
Hill,15.0,3.4,3152.435748075622
Hill,15.0,3.6,2941.841936615964
Hill,20.0,2.6,3657.4799727262284
Hill,20.0,2.8,4175.336410082252
Hill,20.0,3.4,3408.6021612662184
Hill,20.0,3.6,3364.128835172175
Rough,1.0,0.3,3953.4678631852107
Rough,1.0,0.4,2721.031607240136
Rough,1.0,0.7,2100.7046006933215
Rough,1.0,0.8,1567.2123627667352
Rough,2.0,0.3,3776.223868651186
Rough,2.0,0.4,2812.678467159714
Rough,2.0,0.7,1810.0333641555726
Rough,2.0,0.8,1527.0664820952459
Rough,3.0,0.3,3888.4697239325474
Rough,3.0,0.4,3314.848834692556
Rough,3.0,0.7,1620.8825064836021
Rough,3.0,0.8,1347.2331077342112
Rough,4.0,0.3,3822.854976111332
Rough,4.0,0.4,3083.831594962468
Rough,4.0,0.7,1849.9083061017438
Rough,4.0,0.8,1579.5351508307936
