fitness,split
2615.1229709145164,test
4105.254931027321,test
4806.624591275662,test
5068.729304004579,test
2842.282118770223,test
3961.5031780873132,test
4907.584016460404,test
4951.7935361439795,test
2375.258637363353,test
3671.8006138370865,test
4224.066112205084,test
4880.033798402766,test
2146.8055296944663,test
3338.2925421703326,test
4111.779870812616,test
4297.532853181067,test
1647.522390939934,test
2552.454363089181,test
3208.362188037841,test
4115.0296350963645,test
1519.4361779025492,test
2230.3986672667993,test
3327.2422091121034,test
4185.7777348072,test
4397.315421603464,test
4264.957228510134,test
4360.270428154526,test
4201.0444566563265,test
4031.960349414001,test
4221.9724835476045,test
4187.520571076326,test
4240.077565239157,test
2490.146343261554,test
2966.2859180456503,test
2656.5235720439036,test
3045.7328680653573,test
2122.086728037085,test
2504.7918946042705,test
2708.4932201039283,test
2774.498451827942,test
1379.0950791378773,test
1523.231574635032,test
1954.7517824409924,test
2135.525326053876,test
1182.8852611152552,test
1563.303875139369,test
1640.0075368636014,test
1715.8122411924512,test
4859.942015126629,train
2625.4375875959263,train
3870.3701383887214,train
4628.52515067888,train
4963.347124183083,train
2425.4015461190243,train
3846.3630404388045,train
4289.426041914042,train
4963.209893850141,train
2030.587690328118,train
3025.982114161555,train
3795.0953180706038,train
4500.113132554323,train
1817.9374972058488,train
2739.415851772654,train
3651.1033508441296,train
4444.173066200876,train
2863.2827544551337,train
3385.1935649233446,train
3484.1928044574606,train
3921.4398240195355,train
2967.1931475503297,train
2974.9428325931212,train
3349.3804785497405,train
3467.400859300725,train
1699.1216809479147,train
2243.0280526489037,train
2338.5697456966163,train
2442.144708956556,train
1497.5057037089193,train
1896.71741407538,train
1844.9688612316395,train
2282.646833202915,train
