env,env_par1,env_par2,controller,fitness
def,,,"ht(2.6,20)",6170.467393111831
"ht(2.2,5)",5.0,2.2,"ht(2.6,20)",3194.615231810264
"ht(2.4,5)",5.0,2.4,"ht(2.6,20)",2374.2176670050017
"ht(2.6,5)",5.0,2.6,"ht(2.6,20)",2310.9276819970532
"ht(2.8,5)",5.0,2.8,"ht(2.6,20)",2163.8149153459085
"ht(3.0,5)",5.0,3.0,"ht(2.6,20)",1883.0108906359249
"ht(3.2,5)",5.0,3.2,"ht(2.6,20)",1834.4163922799396
"ht(3.4,5)",5.0,3.4,"ht(2.6,20)",1357.4193101250455
"ht(3.6,5)",5.0,3.6,"ht(2.6,20)",1544.7901988440854
"ht(3.8,5)",5.0,3.8,"ht(2.6,20)",1150.932276838749
"ht(4.0,5)",5.0,4.0,"ht(2.6,20)",1089.2798423011873
"ht(2.2,10)",10.0,2.2,"ht(2.6,20)",4329.724618294712
"ht(2.4,10)",10.0,2.4,"ht(2.6,20)",4396.4662038178685
"ht(2.6,10)",10.0,2.6,"ht(2.6,20)",4055.605978682757
"ht(2.8,10)",10.0,2.8,"ht(2.6,20)",3984.014221954879
"ht(3.0,10)",10.0,3.0,"ht(2.6,20)",3592.555840565131
"ht(3.2,10)",10.0,3.2,"ht(2.6,20)",3359.858807115606
"ht(3.4,10)",10.0,3.4,"ht(2.6,20)",3327.6758738330345
"ht(3.6,10)",10.0,3.6,"ht(2.6,20)",2754.2918074194545
"ht(3.8,10)",10.0,3.8,"ht(2.6,20)",2561.767544073665
"ht(4.0,10)",10.0,4.0,"ht(2.6,20)",2222.069283497604
"ht(2.2,15)",15.0,2.2,"ht(2.6,20)",5265.45757848857
"ht(2.4,15)",15.0,2.4,"ht(2.6,20)",5160.616590293873
"ht(2.6,15)",15.0,2.6,"ht(2.6,20)",5061.222436759193
"ht(2.8,15)",15.0,2.8,"ht(2.6,20)",4525.457140371322
"ht(3.0,15)",15.0,3.0,"ht(2.6,20)",4694.0535773049005
"ht(3.2,15)",15.0,3.2,"ht(2.6,20)",4300.271676247673
