env,env_par1,env_par2,controller,fitness
def,,,"ht(2.6,20)",4898.837790647786
"ht(2.2,5)",5.0,2.2,"ht(2.6,20)",2932.523189792203
"ht(2.4,5)",5.0,2.4,"ht(2.6,20)",2930.8390767627893
"ht(2.6,5)",5.0,2.6,"ht(2.6,20)",2494.384740750222
"ht(2.8,5)",5.0,2.8,"ht(2.6,20)",2500.312963516818
"ht(3.0,5)",5.0,3.0,"ht(2.6,20)",2184.5119268524086
"ht(3.2,5)",5.0,3.2,"ht(2.6,20)",2053.8607255230036
"ht(3.4,5)",5.0,3.4,"ht(2.6,20)",1593.6857914749742
"ht(3.6,5)",5.0,3.6,"ht(2.6,20)",1665.5528274584733
"ht(3.8,5)",5.0,3.8,"ht(2.6,20)",1492.5784550977344
"ht(4.0,5)",5.0,4.0,"ht(2.6,20)",914.3698161411588
"ht(2.2,10)",10.0,2.2,"ht(2.6,20)",4035.2473765784007
"ht(2.4,10)",10.0,2.4,"ht(2.6,20)",4010.479460475596
"ht(2.6,10)",10.0,2.6,"ht(2.6,20)",3651.442561439578
"ht(2.8,10)",10.0,2.8,"ht(2.6,20)",3480.857171887534
"ht(3.0,10)",10.0,3.0,"ht(2.6,20)",3528.7480809692615
"ht(3.2,10)",10.0,3.2,"ht(2.6,20)",3344.5143791044925
"ht(3.4,10)",10.0,3.4,"ht(2.6,20)",3009.0602621324874
"ht(3.6,10)",10.0,3.6,"ht(2.6,20)",2537.591170726592
"ht(3.8,10)",10.0,3.8,"ht(2.6,20)",2682.2472409604293
"ht(4.0,10)",10.0,4.0,"ht(2.6,20)",2524.921482117497
"ht(2.2,15)",15.0,2.2,"ht(2.6,20)",4552.328237945854
"ht(2.4,15)",15.0,2.4,"ht(2.6,20)",4349.615345088791
"ht(2.6,15)",15.0,2.6,"ht(2.6,20)",4198.801015059401
"ht(2.8,15)",15.0,2.8,"ht(2.6,20)",4066.7040659864883
"ht(3.0,15)",15.0,3.0,"ht(2.6,20)",4093.745772952348
"ht(3.2,15)",15.0,3.2,"ht(2.6,20)",3548.629361674802
"ht(3.4,15)",15.0,3.4,"ht(2.6,20)",3763.213970646829
"ht(3.6,15)",15.0,3.6,"ht(2.6,20)",3657.0895999908053
"ht(3.8,15)",15.0,3.8,"ht(2.6,20)",3386.0013980226336
"ht(4.0,15)",15.0,4.0,"ht(2.6,20)",3067.244390336186
"ht(2.2,20)",20.0,2.2,"ht(2.6,20)",4610.637945920486
"ht(2.4,20)",20.0,2.4,"ht(2.6,20)",4671.934834162225
"ht(2.6,20)",20.0,2.6,"ht(2.6,20)",4506.147010910847
"ht(2.8,20)",20.0,2.8,"ht(2.6,20)",4494.461097672641
"ht(3.0,20)",20.0,3.0,"ht(2.6,20)",4229.541596559453
"ht(3.2,20)",20.0,3.2,"ht(2.6,20)",4023.1185544106306
"ht(3.4,20)",20.0,3.4,"ht(2.6,20)",4169.009332644101
"ht(3.6,20)",20.0,3.6,"ht(2.6,20)",3870.8088450823034
"ht(3.8,20)",20.0,3.8,"ht(2.6,20)",4020.3215601651787
"ht(4.0,20)",20.0,4.0,"ht(2.6,20)",3795.9784900762306
"rt(0.1,1)",1.0,0.1,"ht(2.6,20)",4263.377894046902
"rt(0.2,1)",1.0,0.2,"ht(2.6,20)",4182.140173297089
"rt(0.3,1)",1.0,0.3,"ht(2.6,20)",3184.633243956918
"rt(0.4,1)",1.0,0.4,"ht(2.6,20)",3157.7469785559615
"rt(0.5,1)",1.0,0.5,"ht(2.6,20)",2098.3009332251977
"rt(0.6,1)",1.0,0.6,"ht(2.6,20)",1553.11495837816
"rt(0.7,1)",1.0,0.7,"ht(2.6,20)",1256.7037558920829
"rt(0.8,1)",1.0,0.8,"ht(2.6,20)",974.7495177155307
"rt(0.9,1)",1.0,0.9,"ht(2.6,20)",1069.5930683931608
"rt(1.0,1)",1.0,1.0,"ht(2.6,20)",559.5005723502732
"rt(0.1,2)",2.0,0.1,"ht(2.6,20)",3913.3696630017375
"rt(0.2,2)",2.0,0.2,"ht(2.6,20)",3937.111629587152
