env,env_par1,env_par2,controller,fitness
def,,,"ht(2.6,20)",5105.206484674947
"ht(2.2,5)",5.0,2.2,"ht(2.6,20)",2590.8173169775037
"ht(2.4,5)",5.0,2.4,"ht(2.6,20)",2029.0038088865815
"ht(2.6,5)",5.0,2.6,"ht(2.6,20)",1493.0611918060617
"ht(2.8,5)",5.0,2.8,"ht(2.6,20)",1296.6060430073267
"ht(3.0,5)",5.0,3.0,"ht(2.6,20)",1098.986221185332
"ht(3.2,5)",5.0,3.2,"ht(2.6,20)",1068.2396063481322
"ht(3.4,5)",5.0,3.4,"ht(2.6,20)",534.1101646630289
"ht(3.6,5)",5.0,3.6,"ht(2.6,20)",542.9530294780097
"ht(3.8,5)",5.0,3.8,"ht(2.6,20)",491.0990320908717
"ht(4.0,5)",5.0,4.0,"ht(2.6,20)",413.81483507162153
"ht(2.2,10)",10.0,2.2,"ht(2.6,20)",3882.5610198733025
"ht(2.4,10)",10.0,2.4,"ht(2.6,20)",3804.277109500057
"ht(2.6,10)",10.0,2.6,"ht(2.6,20)",3204.1976573761267
"ht(2.8,10)",10.0,2.8,"ht(2.6,20)",3416.0325013403617
"ht(3.0,10)",10.0,3.0,"ht(2.6,20)",3036.7710129586026
"ht(3.2,10)",10.0,3.2,"ht(2.6,20)",3108.782608031639
"ht(3.4,10)",10.0,3.4,"ht(2.6,20)",2668.5479000912155
"ht(3.6,10)",10.0,3.6,"ht(2.6,20)",2196.9690460519446
"ht(3.8,10)",10.0,3.8,"ht(2.6,20)",2005.52201494443
"ht(4.0,10)",10.0,4.0,"ht(2.6,20)",1862.3701891006035
"ht(2.2,15)",15.0,2.2,"ht(2.6,20)",4826.0050748201475
"ht(2.4,15)",15.0,2.4,"ht(2.6,20)",4596.633857435162
"ht(2.6,15)",15.0,2.6,"ht(2.6,20)",4518.669326525923
"ht(2.8,15)",15.0,2.8,"ht(2.6,20)",3940.993583487089
"ht(3.0,15)",15.0,3.0,"ht(2.6,20)",3817.242717124462
"ht(3.2,15)",15.0,3.2,"ht(2.6,20)",4049.797742976894
"ht(3.4,15)",15.0,3.4,"ht(2.6,20)",3311.944855642539
"ht(3.6,15)",15.0,3.6,"ht(2.6,20)",3687.713938123196
"ht(3.8,15)",15.0,3.8,"ht(2.6,20)",2984.1294433761987
"ht(4.0,15)",15.0,4.0,"ht(2.6,20)",2943.316116717426
"ht(2.2,20)",20.0,2.2,"ht(2.6,20)",5197.008865972943
"ht(2.4,20)",20.0,2.4,"ht(2.6,20)",5044.051114272297
"ht(2.6,20)",20.0,2.6,"ht(2.6,20)",4897.214813054347
"ht(2.8,20)",20.0,2.8,"ht(2.6,20)",4318.371198434981
"ht(3.0,20)",20.0,3.0,"ht(2.6,20)",4864.242502924558
"ht(3.2,20)",20.0,3.2,"ht(2.6,20)",4811.632737594327
"ht(3.4,20)",20.0,3.4,"ht(2.6,20)",4632.967460268568
"ht(3.6,20)",20.0,3.6,"ht(2.6,20)",4318.085673403026
"ht(3.8,20)",20.0,3.8,"ht(2.6,20)",4201.052855399835
"ht(4.0,20)",20.0,4.0,"ht(2.6,20)",3841.9656999033086
"rt(0.1,1)",1.0,0.1,"ht(2.6,20)",2503.0734255507477
"rt(0.2,1)",1.0,0.2,"ht(2.6,20)",2159.418497700367
"rt(0.3,1)",1.0,0.3,"ht(2.6,20)",1029.566002875658
"rt(0.4,1)",1.0,0.4,"ht(2.6,20)",640.0784923850123
"rt(0.5,1)",1.0,0.5,"ht(2.6,20)",584.8259651139293
"rt(0.6,1)",1.0,0.6,"ht(2.6,20)",345.62340530413917
"rt(0.7,1)",1.0,0.7,"ht(2.6,20)",230.31492492603874
"rt(0.8,1)",1.0,0.8,"ht(2.6,20)",329.62445462745376
"rt(0.9,1)",1.0,0.9,"ht(2.6,20)",317.2712120924251
"rt(1.0,1)",1.0,1.0,"ht(2.6,20)",331.2217099933397
"rt(0.1,2)",2.0,0.1,"ht(2.6,20)",3262.7063870314087
"rt(0.2,2)",2.0,0.2,"ht(2.6,20)",2245.5741402341464
"rt(0.3,2)",2.0,0.3,"ht(2.6,20)",1647.6404099238503
"rt(0.4,2)",2.0,0.4,"ht(2.6,20)",1157.8826924281398
"rt(0.5,2)",2.0,0.5,"ht(2.6,20)",828.9068768065006
"rt(0.6,2)",2.0,0.6,"ht(2.6,20)",562.9968399608755
"rt(0.7,2)",2.0,0.7,"ht(2.6,20)",452.5682117633745
"rt(0.8,2)",2.0,0.8,"ht(2.6,20)",323.72326453985175
"rt(0.9,2)",2.0,0.9,"ht(2.6,20)",373.3352200409959
"rt(1.0,2)",2.0,1.0,"ht(2.6,20)",340.51958663722394
"rt(0.1,3)",3.0,0.1,"ht(2.6,20)",2930.1165577642946
"rt(0.2,3)",3.0,0.2,"ht(2.6,20)",2742.5153843771286
"rt(0.3,3)",3.0,0.3,"ht(2.6,20)",2177.3856734007354
"rt(0.4,3)",3.0,0.4,"ht(2.6,20)",1519.9080136069122
"rt(0.5,3)",3.0,0.5,"ht(2.6,20)",1145.7598733013174
"rt(0.6,3)",3.0,0.6,"ht(2.6,20)",341.927347605434
"rt(0.7,3)",3.0,0.7,"ht(2.6,20)",456.28908242698265
"rt(0.8,3)",3.0,0.8,"ht(2.6,20)",464.3996089635449
"rt(0.9,3)",3.0,0.9,"ht(2.6,20)",224.0937275607239
"rt(1.0,3)",3.0,1.0,"ht(2.6,20)",285.03128973149734
"rt(0.1,4)",4.0,0.1,"ht(2.6,20)",3145.080375048092
"rt(0.2,4)",4.0,0.2,"ht(2.6,20)",2338.0365429693834
"rt(0.3,4)",4.0,0.3,"ht(2.6,20)",2681.9491243952993
"rt(0.4,4)",4.0,0.4,"ht(2.6,20)",2089.11261220393
"rt(0.5,4)",4.0,0.5,"ht(2.6,20)",894.7520931301609
"rt(0.6,4)",4.0,0.6,"ht(2.6,20)",907.7157395111523
"rt(0.7,4)",4.0,0.7,"ht(2.6,20)",701.0374940032748
"rt(0.8,4)",4.0,0.8,"ht(2.6,20)",584.8771935850405
"rt(0.9,4)",4.0,0.9,"ht(2.6,20)",220.23308724899738
"rt(1.0,4)",4.0,1.0,"ht(2.6,20)",376.48115372078547
def,,,"ht(2.6,5)",3620.417742340921
"ht(2.2,5)",5.0,2.2,"ht(2.6,5)",2521.020960635316
"ht(2.4,5)",5.0,2.4,"ht(2.6,5)",2660.179521509495
"ht(2.6,5)",5.0,2.6,"ht(2.6,5)",2360.1822737222947
"ht(2.8,5)",5.0,2.8,"ht(2.6,5)",2540.5170572202674
"ht(3.0,5)",5.0,3.0,"ht(2.6,5)",2199.3106443264373
"ht(3.2,5)",5.0,3.2,"ht(2.6,5)",1726.4766625200148
"ht(3.4,5)",5.0,3.4,"ht(2.6,5)",1948.8318186624306
"ht(3.6,5)",5.0,3.6,"ht(2.6,5)",1556.633767725867
"ht(3.8,5)",5.0,3.8,"ht(2.6,5)",1217.5067677726895
"ht(4.0,5)",5.0,4.0,"ht(2.6,5)",1428.1960445985603
"ht(2.2,10)",10.0,2.2,"ht(2.6,5)",3194.9195823869572
"ht(2.4,10)",10.0,2.4,"ht(2.6,5)",3274.7103082522212
"ht(2.6,10)",10.0,2.6,"ht(2.6,5)",3064.535571625688
"ht(2.8,10)",10.0,2.8,"ht(2.6,5)",2602.4274741606296
"ht(3.0,10)",10.0,3.0,"ht(2.6,5)",3360.3608529659646
"ht(3.2,10)",10.0,3.2,"ht(2.6,5)",2792.930997579247
"ht(3.4,10)",10.0,3.4,"ht(2.6,5)",2419.800047846725
"ht(3.6,10)",10.0,3.6,"ht(2.6,5)",2396.18496192997
"ht(3.8,10)",10.0,3.8,"ht(2.6,5)",2357.500867438342
"ht(4.0,10)",10.0,4.0,"ht(2.6,5)",1987.2085616850784
"ht(2.2,15)",15.0,2.2,"ht(2.6,5)",4170.6549105272825
"ht(2.4,15)",15.0,2.4,"ht(2.6,5)",3802.46019332812
"ht(2.6,15)",15.0,2.6,"ht(2.6,5)",3977.2852451903404
"ht(2.8,15)",15.0,2.8,"ht(2.6,5)",3498.15205263484
"ht(3.0,15)",15.0,3.0,"ht(2.6,5)",3403.5770499969076
"ht(3.2,15)",15.0,3.2,"ht(2.6,5)",3448.2819539150214
"ht(3.4,15)",15.0,3.4,"ht(2.6,5)",3659.5343163105595
"ht(3.6,15)",15.0,3.6,"ht(2.6,5)",2484.9142876367064
"ht(3.8,15)",15.0,3.8,"ht(2.6,5)",2926.7531066729593
"ht(4.0,15)",15.0,4.0,"ht(2.6,5)",2606.5907561364556
"ht(2.2,20)",20.0,2.2,"ht(2.6,5)",3599.90279297362
"ht(2.4,20)",20.0,2.4,"ht(2.6,5)",4159.837494410474
"ht(2.6,20)",20.0,2.6,"ht(2.6,5)",4167.7872399528715
"ht(2.8,20)",20.0,2.8,"ht(2.6,5)",4013.879411314984
"ht(3.0,20)",20.0,3.0,"ht(2.6,5)",3903.98472433467
"ht(3.2,20)",20.0,3.2,"ht(2.6,5)",3317.1512846247106
"ht(3.4,20)",20.0,3.4,"ht(2.6,5)",3759.7642258037818
"ht(3.6,20)",20.0,3.6,"ht(2.6,5)",3529.5887085894046
"ht(3.8,20)",20.0,3.8,"ht(2.6,5)",3507.0382934178574
"ht(4.0,20)",20.0,4.0,"ht(2.6,5)",3656.6119215070144
"rt(0.1,1)",1.0,0.1,"ht(2.6,5)",2226.5270580724664
"rt(0.2,1)",1.0,0.2,"ht(2.6,5)",1247.054825644871
"rt(0.3,1)",1.0,0.3,"ht(2.6,5)",1470.470718860477
"rt(0.4,1)",1.0,0.4,"ht(2.6,5)",1450.9778038710908
"rt(0.5,1)",1.0,0.5,"ht(2.6,5)",1446.9028795103231
"rt(0.6,1)",1.0,0.6,"ht(2.6,5)",1505.052990186369
"rt(0.7,1)",1.0,0.7,"ht(2.6,5)",1262.817727309653
"rt(0.8,1)",1.0,0.8,"ht(2.6,5)",713.5974905201912
"rt(0.9,1)",1.0,0.9,"ht(2.6,5)",917.4347525156501
"rt(1.0,1)",1.0,1.0,"ht(2.6,5)",790.7878400485249
"rt(0.1,2)",2.0,0.1,"ht(2.6,5)",1973.538874382172
"rt(0.2,2)",2.0,0.2,"ht(2.6,5)",1476.8400152857353
"rt(0.3,2)",2.0,0.3,"ht(2.6,5)",1454.3702655128095
"rt(0.4,2)",2.0,0.4,"ht(2.6,5)",1921.7772993542183
"rt(0.5,2)",2.0,0.5,"ht(2.6,5)",1554.24606183021
"rt(0.6,2)",2.0,0.6,"ht(2.6,5)",1473.168194000762
"rt(0.7,2)",2.0,0.7,"ht(2.6,5)",1348.1762657594813
"rt(0.8,2)",2.0,0.8,"ht(2.6,5)",1533.073362166771
"rt(0.9,2)",2.0,0.9,"ht(2.6,5)",1073.243797815636
"rt(1.0,2)",2.0,1.0,"ht(2.6,5)",981.680822027052
"rt(0.1,3)",3.0,0.1,"ht(2.6,5)",1832.4254794375215
"rt(0.2,3)",3.0,0.2,"ht(2.6,5)",2260.5976440634845
"rt(0.3,3)",3.0,0.3,"ht(2.6,5)",1620.2103002204703
"rt(0.4,3)",3.0,0.4,"ht(2.6,5)",1602.1276177981892
"rt(0.5,3)",3.0,0.5,"ht(2.6,5)",1512.4801641842553
"rt(0.6,3)",3.0,0.6,"ht(2.6,5)",2143.471621260664
"rt(0.7,3)",3.0,0.7,"ht(2.6,5)",1171.6292398525932
"rt(0.8,3)",3.0,0.8,"ht(2.6,5)",1264.1052192596158
"rt(0.9,3)",3.0,0.9,"ht(2.6,5)",1404.232577630791
"rt(1.0,3)",3.0,1.0,"ht(2.6,5)",1356.070130252366
"rt(0.1,4)",4.0,0.1,"ht(2.6,5)",2319.994686558302
"rt(0.2,4)",4.0,0.2,"ht(2.6,5)",1947.7352055693977
"rt(0.3,4)",4.0,0.3,"ht(2.6,5)",2326.9692976855195
"rt(0.4,4)",4.0,0.4,"ht(2.6,5)",1922.0587434568226
"rt(0.5,4)",4.0,0.5,"ht(2.6,5)",1870.6736661938412
"rt(0.6,4)",4.0,0.6,"ht(2.6,5)",1525.6394375503555
"rt(0.7,4)",4.0,0.7,"ht(2.6,5)",1756.9266822698746
"rt(0.8,4)",4.0,0.8,"ht(2.6,5)",2006.7906832057158
"rt(0.9,4)",4.0,0.9,"ht(2.6,5)",1215.199169618248
"rt(1.0,4)",4.0,1.0,"ht(2.6,5)",1382.8100004856026
def,,,"ht(3.6,20)",3625.478463463611
"ht(2.2,5)",5.0,2.2,"ht(3.6,20)",2099.685989629319
"ht(2.4,5)",5.0,2.4,"ht(3.6,20)",1557.1110892779602
"ht(2.6,5)",5.0,2.6,"ht(3.6,20)",1421.557043437707
"ht(2.8,5)",5.0,2.8,"ht(3.6,20)",1411.6278155624038
"ht(3.0,5)",5.0,3.0,"ht(3.6,20)",1115.3454630776623
"ht(3.2,5)",5.0,3.2,"ht(3.6,20)",725.8897119060949
"ht(3.4,5)",5.0,3.4,"ht(3.6,20)",768.2456658610555
"ht(3.6,5)",5.0,3.6,"ht(3.6,20)",627.5113138154409
"ht(3.8,5)",5.0,3.8,"ht(3.6,20)",565.6039155226882
"ht(4.0,5)",5.0,4.0,"ht(3.6,20)",524.204866647475
"ht(2.2,10)",10.0,2.2,"ht(3.6,20)",3439.198001253539
"ht(2.4,10)",10.0,2.4,"ht(3.6,20)",2672.7177718201588
"ht(2.6,10)",10.0,2.6,"ht(3.6,20)",2362.795636042587
"ht(2.8,10)",10.0,2.8,"ht(3.6,20)",3158.6945026368435
