env,env_par1,env_par2,best_fitness
def,,,8155.056167434856
"ht(2.2,10)",10.0,2.2,4506.665541665503
"ht(2.2,15)",15.0,2.2,4826.005074820148
"ht(2.2,20)",20.0,2.2,5197.008865972943
"ht(2.2,5)",5.0,2.2,3489.1683044562856
"ht(2.4,10)",10.0,2.4,4199.32004579453
"ht(2.4,15)",15.0,2.4,4630.833910876791
"ht(2.4,20)",20.0,2.4,5044.051114272297
"ht(2.4,5)",5.0,2.4,3118.827063408301
"ht(2.6,10)",10.0,2.6,4146.13164725783
"ht(2.6,15)",15.0,2.6,4545.562764539909
"ht(2.6,20)",20.0,2.6,4897.214813054347
"ht(2.6,5)",5.0,2.6,2899.992971625044
"ht(2.8,10)",10.0,2.8,3828.636039433704
"ht(2.8,15)",15.0,2.8,4466.341599930098
"ht(2.8,20)",20.0,2.8,4919.956960521158
"ht(2.8,5)",5.0,2.8,2652.708633334538
"ht(3.0,10)",10.0,3.0,3749.2172585836847
"ht(3.0,15)",15.0,3.0,4384.9015303912565
"ht(3.0,20)",20.0,3.0,4864.242502924558
"ht(3.0,5)",5.0,3.0,2230.736626986225
"ht(3.2,10)",10.0,3.2,3484.949481394172
"ht(3.2,15)",15.0,3.2,4246.556732684791
"ht(3.2,20)",20.0,3.2,4811.632737594327
"ht(3.2,5)",5.0,3.2,2136.331187830322
"ht(3.4,10)",10.0,3.4,3169.328228710002
"ht(3.4,15)",15.0,3.4,4224.640417964793
"ht(3.4,20)",20.0,3.4,4632.967460268568
"ht(3.4,5)",5.0,3.4,2074.3835228330986
"ht(3.6,10)",10.0,3.6,2836.818251794034
"ht(3.6,15)",15.0,3.6,4039.45618549371
"ht(3.6,20)",20.0,3.6,4522.784193851948
"ht(3.6,5)",5.0,3.6,1665.5528274584733
"ht(3.8,10)",10.0,3.8,2749.619571853161
"ht(3.8,15)",15.0,3.8,3887.692731569387
"ht(3.8,20)",20.0,3.8,4365.153840158483
"ht(3.8,5)",5.0,3.8,1612.324146224381
"ht(4.0,10)",10.0,4.0,2524.921482117497
"ht(4.0,15)",15.0,4.0,3634.074300308688
"ht(4.0,20)",20.0,4.0,4396.347261869872
"ht(4.0,5)",5.0,4.0,1428.1960445985603
"rt(0.1,1)",1.0,0.1,5204.403051946753
"rt(0.1,2)",2.0,0.1,5545.51752875784
"rt(0.1,3)",3.0,0.1,5385.351285888928
"rt(0.1,4)",4.0,0.1,5513.996195226175
"rt(0.2,1)",1.0,0.2,4772.670067724028
"rt(0.2,2)",2.0,0.2,4855.736635153889
"rt(0.2,3)",3.0,0.2,5544.613528031471
"rt(0.2,4)",4.0,0.2,5310.60466180535
"rt(0.3,1)",1.0,0.3,4246.05427059592
"rt(0.3,2)",2.0,0.3,4992.961431704458
"rt(0.3,3)",3.0,0.3,4684.034430318048
"rt(0.3,4)",4.0,0.3,5252.397475137723
"rt(0.4,1)",1.0,0.4,3738.041613538808
"rt(0.4,2)",2.0,0.4,3699.820794128847
"rt(0.4,3)",3.0,0.4,4068.919541394211
"rt(0.4,4)",4.0,0.4,4377.752045255957
"rt(0.5,1)",1.0,0.5,3043.646674592656
"rt(0.5,2)",2.0,0.5,3544.7172110132046
"rt(0.5,3)",3.0,0.5,3562.2688236006866
"rt(0.5,4)",4.0,0.5,3493.8590270772697
"rt(0.6,1)",1.0,0.6,2704.078665446248
"rt(0.6,2)",2.0,0.6,2808.907161597938
"rt(0.6,3)",3.0,0.6,2989.2640176110044
"rt(0.6,4)",4.0,0.6,3284.120294137602
"rt(0.7,1)",1.0,0.7,2387.7511827965195
"rt(0.7,2)",2.0,0.7,2398.493440751699
"rt(0.7,3)",3.0,0.7,2822.369813045221
"rt(0.7,4)",4.0,0.7,2905.3595965114496
"rt(0.8,1)",1.0,0.8,2232.1758177349384
"rt(0.8,2)",2.0,0.8,2157.1918578808195
"rt(0.8,3)",3.0,0.8,2307.437492819518
"rt(0.8,4)",4.0,0.8,2496.9538321141813
"rt(0.9,1)",1.0,0.9,1807.9232390177615
"rt(0.9,2)",2.0,0.9,1771.280682444865
"rt(0.9,3)",3.0,0.9,1947.6347548964447
"rt(0.9,4)",4.0,0.9,2355.2124603215643
"rt(1.0,1)",1.0,1.0,1802.6686120279855
"rt(1.0,2)",2.0,1.0,1704.5045484949508
"rt(1.0,3)",3.0,1.0,1976.7498951413395
"rt(1.0,4)",4.0,1.0,2094.503615652621
