env,env_par1,env_par2,controller,fitness
DefaultTerrain,,,"ht(2.6,20)",5153.242889065853
HillsTerrain,5.0,2.2,"ht(2.6,20)",1703.3083793965375
HillsTerrain,5.0,2.4,"ht(2.6,20)",1530.6213226561813
HillsTerrain,5.0,2.6,"ht(2.6,20)",1312.5781374993287
HillsTerrain,5.0,2.8,"ht(2.6,20)",1254.2577036014175
HillsTerrain,5.0,3.0,"ht(2.6,20)",1145.7411822251256
HillsTerrain,5.0,3.2,"ht(2.6,20)",848.2843052442971
HillsTerrain,5.0,3.4,"ht(2.6,20)",696.5966225726916
HillsTerrain,5.0,3.6,"ht(2.6,20)",476.6780483566362
HillsTerrain,5.0,3.8,"ht(2.6,20)",561.9170972707659
HillsTerrain,5.0,4.0,"ht(2.6,20)",570.172143620009
HillsTerrain,10.0,2.2,"ht(2.6,20)",3889.6008705307017
HillsTerrain,10.0,2.4,"ht(2.6,20)",3838.854975348832
HillsTerrain,10.0,2.6,"ht(2.6,20)",3097.90124799073
HillsTerrain,10.0,2.8,"ht(2.6,20)",3384.429479114527
HillsTerrain,10.0,3.0,"ht(2.6,20)",3084.0219554386176
HillsTerrain,10.0,3.2,"ht(2.6,20)",2726.7128379012433
HillsTerrain,10.0,3.4,"ht(2.6,20)",2767.201210316583
HillsTerrain,10.0,3.6,"ht(2.6,20)",1858.763501084259
HillsTerrain,10.0,3.8,"ht(2.6,20)",1627.4072453610206
HillsTerrain,10.0,4.0,"ht(2.6,20)",1681.6393132146302
HillsTerrain,15.0,2.2,"ht(2.6,20)",4624.324816333175
HillsTerrain,15.0,2.4,"ht(2.6,20)",4649.8726315879185
HillsTerrain,15.0,2.6,"ht(2.6,20)",4652.00824565239
HillsTerrain,15.0,2.8,"ht(2.6,20)",4312.715872186691
HillsTerrain,15.0,3.0,"ht(2.6,20)",4021.686972975232
HillsTerrain,15.0,3.2,"ht(2.6,20)",3912.2172545600915
HillsTerrain,15.0,3.4,"ht(2.6,20)",3240.989647987498
HillsTerrain,15.0,3.6,"ht(2.6,20)",3578.106737854271
HillsTerrain,15.0,3.8,"ht(2.6,20)",3590.3290151296637
HillsTerrain,15.0,4.0,"ht(2.6,20)",3046.3662090037765
HillsTerrain,20.0,2.2,"ht(2.6,20)",5223.595376670436
HillsTerrain,20.0,2.4,"ht(2.6,20)",5115.071495241691
HillsTerrain,20.0,2.6,"ht(2.6,20)",4988.935106744306
HillsTerrain,20.0,2.8,"ht(2.6,20)",4876.07149508151
HillsTerrain,20.0,3.0,"ht(2.6,20)",4509.60832026306
HillsTerrain,20.0,3.2,"ht(2.6,20)",4718.251834492083
HillsTerrain,20.0,3.4,"ht(2.6,20)",4398.652929121606
HillsTerrain,20.0,3.6,"ht(2.6,20)",4569.72508182377
HillsTerrain,20.0,3.8,"ht(2.6,20)",4306.543818549675
HillsTerrain,20.0,4.0,"ht(2.6,20)",4041.894082712671
RoughTerrain,1.0,0.1,"ht(2.6,20)",2397.0020875387304
RoughTerrain,1.0,0.2,"ht(2.6,20)",1723.8054617756766
RoughTerrain,1.0,0.3,"ht(2.6,20)",1773.4128215868718
RoughTerrain,1.0,0.4,"ht(2.6,20)",832.9686474198729
RoughTerrain,1.0,0.5,"ht(2.6,20)",495.03043823899037
RoughTerrain,1.0,0.6,"ht(2.6,20)",446.7203494342421
RoughTerrain,1.0,0.7,"ht(2.6,20)",300.9689746062315
RoughTerrain,1.0,0.8,"ht(2.6,20)",412.3273815394427
RoughTerrain,1.0,0.9,"ht(2.6,20)",211.41135354062146
RoughTerrain,1.0,1.0,"ht(2.6,20)",301.71317345085185
RoughTerrain,2.0,0.1,"ht(2.6,20)",2815.245867806055
RoughTerrain,2.0,0.2,"ht(2.6,20)",2086.211458706727
RoughTerrain,2.0,0.3,"ht(2.6,20)",1697.7260020283998
RoughTerrain,2.0,0.4,"ht(2.6,20)",1533.3620485469053
RoughTerrain,2.0,0.5,"ht(2.6,20)",891.0038614699812
RoughTerrain,2.0,0.6,"ht(2.6,20)",684.1065270062312
RoughTerrain,2.0,0.7,"ht(2.6,20)",334.7613943678035
RoughTerrain,2.0,0.8,"ht(2.6,20)",283.388399134967
RoughTerrain,2.0,0.9,"ht(2.6,20)",384.04375446581906
RoughTerrain,2.0,1.0,"ht(2.6,20)",251.05537307588838
RoughTerrain,3.0,0.1,"ht(2.6,20)",2650.580491766715
RoughTerrain,3.0,0.2,"ht(2.6,20)",2619.3446165150476
RoughTerrain,3.0,0.3,"ht(2.6,20)",2121.164309987246
RoughTerrain,3.0,0.4,"ht(2.6,20)",1341.763093527573
RoughTerrain,3.0,0.5,"ht(2.6,20)",1087.9639821646042
RoughTerrain,3.0,0.6,"ht(2.6,20)",692.1751095778919
RoughTerrain,3.0,0.7,"ht(2.6,20)",776.5864490823734
RoughTerrain,3.0,0.8,"ht(2.6,20)",363.65227244648474
RoughTerrain,3.0,0.9,"ht(2.6,20)",438.961477447668
RoughTerrain,3.0,1.0,"ht(2.6,20)",393.2086064834261
RoughTerrain,4.0,0.1,"ht(2.6,20)",2950.0399920837963
RoughTerrain,4.0,0.2,"ht(2.6,20)",2678.029963496561
RoughTerrain,4.0,0.3,"ht(2.6,20)",2350.2560212175895
RoughTerrain,4.0,0.4,"ht(2.6,20)",1367.6608462566082
RoughTerrain,4.0,0.5,"ht(2.6,20)",1309.5761481526922
RoughTerrain,4.0,0.6,"ht(2.6,20)",903.8234530975321
