experiment,partition_1_last_tensor,partition_2_last_tensor,partition_3_last_tensor,partition_1_evals,partition_2_evals,partition_3_evals
OurAlgo-MorphEvo-Gen_2088_21-12_00-53-31-853486,2910,900,743,,,
OurAlgo-MorphEvo-Gen_2228_22-12_18-04-26-478961,1781,2765,1149,93481.0,180417.0,209142.0
OurAlgo-MorphEvo-Gen_2287_22-12_11-43-51-037100,2122,1082,2018,117067.0,147063.0,195495.0
OurAlgo-MorphEvo-Gen_2288_20-12_15-58-21-321426,2738,1665,2188,,,
OurAlgo-MorphEvo-Gen_2343_21-12_01-01-48-014853,1970,1142,665,,,
OurAlgo-MorphEvo-Gen_2392_21-12_01-32-39-366522,2157,1702,2516,,,
OurAlgo-MorphEvo-Gen_2404_22-12_11-44-03-415499,2250,1261,1290,121366.0,158896.0,189856.0
OurAlgo-MorphEvo-Gen_2511_20-12_15-12-02-996622,2395,1796,2205,,,
OurAlgo-MorphEvo-Gen_2528_23-12_17-55-34-282557,2986,1399,2409,158942.0,200312.0,260537.0
OurAlgo-MorphEvo-Gen_2541_21-12_01-28-34-474316,1959,2190,2299,,,
OurAlgo-MorphEvo-Gen_2547_23-12_03-26-19-276849,2088,1236,2271,111840.0,147384.0,201888.0
OurAlgo-MorphEvo-Gen_2574_20-12_15-15-17-263879,2172,1770,1120,,,
OurAlgo-MorphEvo-Gen_2603_21-12_00-53-32-314415,1562,1303,1113,,,
OurAlgo-MorphEvo-Gen_2634_23-12_19-22-56-754507,2622,1295,1580,138462.0,179082.0,217002.0
OurAlgo-MorphEvo-Gen_2650_20-12_15-11-18-448695,1870,903,2202,,,
OurAlgo-MorphEvo-Gen_2704_20-12_15-15-23-573144,2184,1268,1682,,,
OurAlgo-MorphEvo-Gen_2709_20-12_23-25-15-742896,1749,1898,1202,,,
OurAlgo-MorphEvo-Gen_2709_23-12_11-53-48-273668,2785,2475,1460,152848.0,226309.0,262809.0
OurAlgo-MorphEvo-Gen_2727_20-12_15-58-21-385060,2479,1189,2203,,,
OurAlgo-MorphEvo-Gen_2761_20-12_15-58-21-765051,2120,2140,1600,,,
OurAlgo-MorphEvo-Gen_2833_22-12_20-30-41-911870,2397,1177,2278,128496.0,164365.0,221315.0
OurAlgo-MorphEvo-Gen_2869_23-12_05-43-57-468891,3169,2392,1885,163864.0,241204.0,288329.0
OurAlgo-MorphEvo-Gen_2896_22-12_11-39-40-997430,1562,911,1560,84898.0,111017.0,148457.0
OurAlgo-MorphEvo-Gen_3001_23-12_04-44-54-287722,3087,2802,1338,167769.0,255413.0,287525.0
OurAlgo-MorphEvo-Gen_3002_20-12_15-10-59-915662,2835,1330,1932,,,
OurAlgo-MorphEvo-Gen_3006_22-12_20-22-23-418944,1680,2026,1534,88207.0,147053.0,185403.0
OurAlgo-MorphEvo-Gen_3123_22-12_00-32-13-043755,2022,1424,2182,109991.0,151115.0,205665.0
OurAlgo-MorphEvo-Gen_3130_21-12_14-47-44-899813,2182,1077,2161,119136.0,147800.0,199664.0
OurAlgo-MorphEvo-Gen_3149_21-12_01-24-25-283105,2563,3289,2606,,,
OurAlgo-MorphEvo-Gen_3182_21-12_00-53-32-313912,3490,2867,1314,,,
